number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
77,0.0,2025-07-01 20:15:43.869618,2025-07-01 20:15:44.076898,0 days 00:00:00.207280,0.6794535201638037,4,0.9129068758675848,6.581472896146532,0.7223739104377502,0.23849423555782984,5,15,160,COMPLETE
78,0.0,2025-07-01 20:15:44.077899,2025-07-01 20:15:44.279387,0 days 00:00:00.201488,0.4665948804437287,1,0.657771960030197,5.624164437928554,2.6659498759172924,0.013420812289042907,7,90,300,COMPLETE
79,0.0,2025-07-01 20:15:44.279387,2025-07-01 20:15:44.514213,0 days 00:00:00.234826,0.4865374296444465,3,0.4126309678541935,4.958734135275455,3.1246058371319516,0.09223704045252305,8,25,193,COMPLETE
80,0.0,2025-07-01 20:15:44.515213,2025-07-01 20:15:44.700339,0 days 00:00:00.185126,0.5883848635233981,2,0.5602207127076516,8.508168159426601,7.913944825609467,0.14958986572942531,3,21,83,COMPLETE
81,0.0,2025-07-01 20:15:44.701979,2025-07-01 20:15:44.887796,0 days 00:00:00.185817,0.8753904729314738,1,0.8466337609665598,1.4442585339045355,8.902237531736148,0.10124151949395611,12,39,173,COMPLETE
82,0.0,2025-07-01 20:15:44.887796,2025-07-01 20:15:45.080281,0 days 00:00:00.192485,0.8516068087295,1,0.9349492567896986,4.13008075300907,9.669455557661669,0.1163523404236486,14,42,223,COMPLETE
83,0.0,2025-07-01 20:15:45.081281,2025-07-01 20:15:45.274952,0 days 00:00:00.193671,0.9471627881010104,1,0.8900491522799421,1.0514938009107189,9.324178867200866,0.19949127461965904,15,48,206,COMPLETE
84,0.0,2025-07-01 20:15:45.274952,2025-07-01 20:15:45.453773,0 days 00:00:00.178821,0.5452513471931996,2,0.755671300041301,0.3026642927616128,8.463701231986892,0.12420949805942993,13,5,22,COMPLETE
85,0.0,2025-07-01 20:15:45.453773,2025-07-01 20:15:45.627322,0 days 00:00:00.173549,0.8906329501741979,1,0.7861476064562709,3.6281944276681117,8.944019299052725,0.10780550385328949,4,29,137,COMPLETE
86,0.0,2025-07-01 20:15:45.628329,2025-07-01 20:15:45.813348,0 days 00:00:00.185019,0.9480723255944576,3,0.8219820382707357,8.035526090542827,7.0923872062672935,0.17618335294055193,14,42,56,COMPLETE
87,0.0,2025-07-01 20:15:45.813348,2025-07-01 20:15:45.997168,0 days 00:00:00.183820,0.45602937176957725,2,0.8701722961812404,0.03629573864129387,9.933812255252585,0.07042498529131146,15,34,99,COMPLETE
88,0.0,2025-07-01 20:15:45.997168,2025-07-01 20:15:46.172485,0 days 00:00:00.175317,0.5208186719554052,1,0.7278358541360369,1.6386619185332139,3.7740378128401906,0.04837107008052652,10,93,15,COMPLETE
89,0.0,2025-07-01 20:15:46.172485,2025-07-01 20:15:46.355948,0 days 00:00:00.183463,0.8357749378113668,4,0.740596080297098,9.228139823882032,4.41689628128475,0.0563312460123962,13,98,41,COMPLETE
90,0.0,2025-07-01 20:15:46.355948,2025-07-01 20:15:46.545012,0 days 00:00:00.189064,0.48012561912563845,2,0.5306752123860201,6.836183341727996,5.01585775797057,0.08258044671319616,11,8,154,COMPLETE
91,0.0,2025-07-01 20:15:46.545012,2025-07-01 20:15:46.732789,0 days 00:00:00.187777,0.6488933383329312,6,0.6049091273920099,8.713332247704136,1.9767448841491335,0.011887643464300901,7,68,215,COMPLETE
92,0.0,2025-07-01 20:15:46.732789,2025-07-01 20:15:46.920322,0 days 00:00:00.187533,0.5673469728194557,6,0.4999858026797321,8.995904108581549,2.5194147211606808,0.010221425817591378,8,78,193,COMPLETE
93,0.0,2025-07-01 20:15:46.920322,2025-07-01 20:15:47.134945,0 days 00:00:00.214623,0.6126532719643313,7,0.5235885274275163,9.65556910937496,1.6172238618462624,0.015564496481951106,9,71,185,COMPLETE
94,0.0,2025-07-01 20:15:47.134945,2025-07-01 20:15:47.328808,0 days 00:00:00.193863,0.7255967075786324,6,0.4877007810059197,2.9091159510637357,2.2965111251376147,0.012461445908281925,6,83,178,COMPLETE
95,0.0,2025-07-01 20:15:47.329808,2025-07-01 20:15:47.520146,0 days 00:00:00.190338,0.5451985525318064,7,0.5807394107005263,9.387839788194388,5.679849969322157,0.09181070251964116,7,51,165,COMPLETE
96,0.0,2025-07-01 20:15:47.521147,2025-07-01 20:15:47.710368,0 days 00:00:00.189221,0.5139827733179364,5,0.558108676763208,9.778279521774541,8.660301278349966,0.017518784533526184,7,64,200,COMPLETE
97,0.0,2025-07-01 20:15:47.711873,2025-07-01 20:15:47.897432,0 days 00:00:00.185559,0.5872993840318008,7,0.7170354977543317,8.37642357054748,6.048877404104809,0.040727213276816776,5,57,126,COMPLETE
98,0.0,2025-07-01 20:15:47.897432,2025-07-01 20:15:48.089370,0 days 00:00:00.191938,0.4962050930586378,4,0.7640456097793883,8.92568444798054,8.29094848088985,0.05167009358358815,6,38,209,COMPLETE
99,0.0,2025-07-01 20:15:48.089370,2025-07-01 20:15:48.273675,0 days 00:00:00.184305,0.6356381815209372,1,0.6159608384879578,5.912351773697039,2.869901053930783,0.12741588401247655,3,14,218,COMPLETE
