number,values_0,values_1,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
70,0.0,0.5,2025-07-01 20:16:00.880475,2025-07-01 20:16:01.056842,0 days 00:00:00.176367,0.7130663582090048,2,0.6415443874819211,7.663041216376765,5.199414836400715,0.04382445387939939,9,39,107,COMPLETE
71,0.0,0.5,2025-07-01 20:16:01.056842,2025-07-01 20:16:01.244980,0 days 00:00:00.188138,0.9451284837666436,7,0.4278776980687884,5.170061695985579,0.9752187989389816,0.26980513832857284,10,100,205,COMPLETE
72,0.0,0.5,2025-07-01 20:16:01.245985,2025-07-01 20:16:01.453161,0 days 00:00:00.207176,0.7618806273703966,5,0.9245063242416385,3.988782970601016,6.981664877237959,0.06878550647539367,6,76,275,COMPLETE
73,0.0,0.5,2025-07-01 20:16:01.453161,2025-07-01 20:16:01.663269,0 days 00:00:00.210108,0.783639273846614,6,0.9633128259496269,8.570956094806586,2.4880354841358034,0.05219531331030368,12,28,235,COMPLETE
74,0.0,0.5,2025-07-01 20:16:01.664271,2025-07-01 20:16:01.868081,0 days 00:00:00.203810,0.8669543702875402,3,0.45921545058927227,3.5839050197044653,3.2942198126203754,0.08920618405086955,14,64,160,COMPLETE
75,0.0,0.5,2025-07-01 20:16:01.869081,2025-07-01 20:16:02.091422,0 days 00:00:00.222341,0.845249891634088,1,0.5336373763892639,0.3283071472724419,9.124001928470367,0.15650047130660497,15,13,284,COMPLETE
76,0.0,0.5,2025-07-01 20:16:02.092421,2025-07-01 20:16:02.280030,0 days 00:00:00.187609,0.4742622842292641,6,0.9954563758921774,6.723009379735556,4.265005570476984,0.18703971425335733,7,92,171,COMPLETE
77,0.0,0.5,2025-07-01 20:16:02.280030,2025-07-01 20:16:02.515872,0 days 00:00:00.235842,0.43842949328228437,3,0.5689316910658497,2.319707326912821,5.680563968151065,0.01663207045554484,8,34,149,COMPLETE
78,0.0,0.5,2025-07-01 20:16:02.516872,2025-07-01 20:16:02.692197,0 days 00:00:00.175325,0.6083969381662083,4,0.4929161006513406,6.116840449306176,4.750499597988151,0.010548414345608527,11,43,36,COMPLETE
79,0.0,0.5,2025-07-01 20:16:02.692197,2025-07-01 20:16:02.870542,0 days 00:00:00.178345,0.5097525794863075,1,0.8388169213414829,0.6405879611111951,8.171908687907104,0.01349891606052485,4,82,121,COMPLETE
80,0.0,0.5,2025-07-01 20:16:02.871543,2025-07-01 20:16:03.054962,0 days 00:00:00.183419,0.540284978759839,7,0.7665750761142166,4.8329440666936465,9.444547061121114,0.13353309975756006,12,56,252,COMPLETE
81,0.0,0.5,2025-07-01 20:16:03.054962,2025-07-01 20:16:03.232804,0 days 00:00:00.177842,0.9072150895627229,2,0.40004404760386586,2.9214829401450904,7.596529860537737,0.23562854079782622,15,64,72,COMPLETE
82,0.0,0.5,2025-07-01 20:16:03.232804,2025-07-01 20:16:03.424149,0 days 00:00:00.191345,0.5825595970559572,6,0.6090740800859296,5.534752680559857,6.343036209189214,0.03046221507974817,5,70,212,COMPLETE
83,0.0,0.5,2025-07-01 20:16:03.424149,2025-07-01 20:16:03.614441,0 days 00:00:00.190292,0.9656611721503402,5,0.6776082208185207,9.302164957032787,3.5876855092564512,0.03738629413662457,10,25,56,COMPLETE
84,0.0,0.5,2025-07-01 20:16:03.614441,2025-07-01 20:16:03.799755,0 days 00:00:00.185314,0.41922086819274124,4,0.7347740312407999,2.1997592225011275,0.31979784611552375,0.11170256664041872,14,58,138,COMPLETE
85,0.0,0.5,2025-07-01 20:16:03.799755,2025-07-01 20:16:03.987521,0 days 00:00:00.187766,0.741050860503405,2,0.7018188157798705,1.1242020905125472,1.903677757894192,0.020832371403174118,3,17,186,COMPLETE
86,0.0,0.5,2025-07-01 20:16:03.987521,2025-07-01 20:16:04.170813,0 days 00:00:00.183292,0.5611089937990883,5,0.9140940489440249,1.7889199654728016,1.0324042151357746,0.07095006450373584,6,79,200,COMPLETE
87,0.0,0.5,2025-07-01 20:16:04.171813,2025-07-01 20:16:04.356135,0 days 00:00:00.184322,0.6659436536549418,6,0.8044781851281912,8.052814368881888,8.914552160529714,0.172097421099129,9,32,98,COMPLETE
88,0.0,0.5,2025-07-01 20:16:04.356135,2025-07-01 20:16:04.563755,0 days 00:00:00.207620,0.8025122008276808,7,0.8702687497207628,7.207027561407184,3.0354974528564083,0.025382223978007046,13,8,300,COMPLETE
89,0.0,0.5,2025-07-01 20:16:04.563755,2025-07-01 20:16:04.748267,0 days 00:00:00.184512,0.712305622487472,1,0.8903290102645214,4.290696830511299,9.91018552715882,0.219889306159126,8,84,262,COMPLETE
90,0.0,0.5,2025-07-01 20:16:04.748267,2025-07-01 20:16:04.935993,0 days 00:00:00.187726,0.8653368516276797,3,0.9417998283450132,9.656566222542558,9.48212041365093,0.017091770447646305,5,37,113,COMPLETE
91,0.0,0.5,2025-07-01 20:16:04.935993,2025-07-01 20:16:05.124296,0 days 00:00:00.188303,0.6431101884585887,4,0.779115610133399,8.872776056905646,1.4403889041503781,0.08331150464649774,7,74,79,COMPLETE
92,0.0,0.5,2025-07-01 20:16:05.124296,2025-07-01 20:16:05.311608,0 days 00:00:00.187312,0.6922146884427544,3,0.582590078402575,3.222172521877284,6.001920236320128,0.26542452395503896,6,46,61,COMPLETE
93,0.0,0.5,2025-07-01 20:16:05.311608,2025-07-01 20:16:05.482878,0 days 00:00:00.171270,0.531585836168094,6,0.9761708895813503,7.492884587367982,5.484673187338356,0.060374595360160065,10,98,44,COMPLETE
94,0.0,0.5,2025-07-01 20:16:05.482878,2025-07-01 20:16:05.657156,0 days 00:00:00.174278,0.4755717018699742,1,0.5333555683513693,5.298421632445824,4.659292822599537,0.042029745219358206,3,89,22,COMPLETE
95,0.0,0.5,2025-07-01 20:16:05.657156,2025-07-01 20:16:05.839455,0 days 00:00:00.182299,0.7283055402528869,5,0.45642571824515393,3.6336378099847684,3.8062204093003142,0.05005605146328758,11,93,220,COMPLETE
96,0.0,0.5,2025-07-01 20:16:05.840959,2025-07-01 20:16:06.031530,0 days 00:00:00.190571,0.933759135546158,2,0.623545783420604,6.043058369335945,6.91666053692175,0.14192843837406777,14,51,288,COMPLETE
97,0.0,0.5,2025-07-01 20:16:06.031530,2025-07-01 20:16:06.227874,0 days 00:00:00.196344,0.8273122000231082,7,0.5150758585405222,4.861057436094491,0.6212210161750766,0.202981541995063,4,43,86,COMPLETE
98,0.0,0.5,2025-07-01 20:16:06.228875,2025-07-01 20:16:06.435313,0 days 00:00:00.206438,0.456673259021976,5,0.6356500396110631,0.006467858433585327,4.1869769960544225,0.09718617743619858,13,87,153,COMPLETE
99,0.0,0.5,2025-07-01 20:16:06.436313,2025-07-01 20:16:06.659489,0 days 00:00:00.223176,0.8560916042076939,4,0.41963595401343795,6.463118686583387,1.212909695627753,0.020487427653017275,9,12,248,COMPLETE
